sc,59,2367,0,0,0,3,0,x,0,o,0,v,x,3,0,0,0,1,
SM,69,2367,0,0,0,2,0,f,2.1,o,0,a,b,3,0,0,0,0,
BK,73,2367,0,0,0,2,1,f,0,o,0,n,x,1,0,0,0,0,
EZ,3,2473,1,0,1,0,1,s,3.8,o,0,a,x,3,1,0,1,0,
gc,11,2473,0,0,0,0,5,s,0,x,0,v,a,3,0,0,0,1,
AS,17,2473,1,0,1,0,3,s,0,x,0,v,x,4,1,0,0,1,What happened TT
AY,27,2473,0,0,1,0,5,s,0,o,0,v,x,4,0,0,0,0,
mj,40,2473,0,0,1,0,5,s,1.5,o,0,v,e,5,0,0,0,1,amazing team 10/10
BK,59,2473,0,0,1,0,8,s,0,o,0,v,x,4,0,0,0,1,
AS,5,2813,0,0,0,1,1,f,0,x,0,n,x,2,0,0,0,0,
AD,9,2813,0,0,0,3,3,b,0,x,0,a,x,3,0,0,0,1,bad auto but good teleop with amp and speaker
Mk,20,2813,0,0,0,0,2,f,0,x,0,a,g,3,0,0,0,0,
AK,35,2813,0,0,0,2,1,x,0,x,0,a,x,2,0,0,0,0,
AK,35,2813,0,0,0,2,1,x,0,x,0,a,x,2,0,0,0,0,
sc,45,2813,0,0,0,0,2,x,0,x,0,n,x,1,0,0,1,0,"controllers sweaty, shots weak bricks are many"
mj,42,2813,0,0,0,5,0,b,0,p,0,a,x,4,0,0,0,1,
sc,56,2813,0,0,0,3,1,f,0,x,0,a,x,3,0,0,0,0,"decent amp, inconsistent on speaker"
Ps,63,2813,0,0,1,3,1,s,0,p,0,a,a,3,0,0,0,0,
BK,70,2813,0,0,0,0,5,f,0,a,0,a,x,2,0,0,0,0,
HS,5,3008,0,0,0,0,0,f,0,x,0,n,a,3,1,1,1,0,tank drive and immobilized
AY,11,3008,1,0,0,0,0,f,0,o,0,a,x,3,0,0,0,0,They had pretty good ground pickup- notes rebounded
EZ,19,3008,0,0,1,0,0,f,0,x,0,n,x,2,1,0,1,0,
AK,33,3008,0,0,0,0,2,x,0,o,0,a,x,3,0,0,0,0,
Mk,37,3008,0,0,0,0,2,f,0,o,0,a,x,2,0,1,0,0,Missed almost every shot
AK,33,3008,0,0,0,0,2,x,0,o,0,a,x,3,0,0,0,0,
sc,44,3008,0,0,1,0,1,x,0,x,0,n,b,1,0,0,1,0,doodoo
sc,44,3008,0,0,1,0,1,x,0,x,0,n,b,1,0,0,1,0,doodoo
AL,56,3008,0,0,0,0,3,f,0,o,0,a,a,2,0,0,0,0,"Tank drive slows them down a bit, shooter unreliable"
AY,68,3008,0,0,0,0,0,f,0,a,0,a,a,3,0,1,0,0,couldnt score so they played defense
mj,14,3189,0,0,0,0,1,b,0,o,0,n,x,2,0,0,0,0,
AL,19,3189,0,0,0,0,1,x,0,x,0,n,a,2,0,0,0,0,Pretty inconsistent and unreliable
sc,28,3189,0,0,1,0,0,x,0,x,0,n,b,1,0,1,0,0,dont
AK,32,3189,0,0,0,0,3,x,0,p,0,a,x,3,0,0,0,0,
AK,32,3189,0,0,0,0,3,x,0,p,0,a,x,3,0,0,0,0,
Mk,50,3189,0,0,1,0,0,s,0,x,0,a,a,3,0,1,0,0,
be,57,3189,0,0,2,0,5,f,0,p,0,v,a,4,0,0,0,1,Best ground -> shooter cycles i have seen
TD,70,3189,0,0,0,0,0,s,0,p,0,a,a,3,0,1,0,0,choppy driving due to tippyness
TD,70,3189,0,0,0,0,0,s,0,p,0,a,a,3,0,1,0,0,choppy driving due to tippyness
AD,6,3256,1,0,0,0,0,x,0,o,0,a,b,4,0,0,0,0,didnt score bad defense
SB,21,3256,0,0,1,0,6,x,0,o,0,a,a,5,0,0,0,1,They kept hitting their alliance partners
